ID,library_ID,Layer,Latitude(N),Longtitude(E),Altitude(m),AGB g/m2,BGB g/m2,SWC,DOC(mg/kg),DON(mg/kg),NH4-N(mg/kg),NO3-N(mg/kg),AP£¨mg/kg£©,pH,SOC(g/kg),TN(g/kg),TP(g/kg),C/N,MAP(mm),MAT(¡æ)
NM26,NM26,subsoil,46.3036,122.2818,210,26.26,98.51,0.16,149.44,53.58,30.39,3.9,1.58,6.73,25.41,2.39,0.47,10.63,450.68,3.76
NM27,NM27,topsoil,48.3708,122.2836,450,63.77,1192.36,0.35,114.2,72.69,54.28,7.01,8.46,7.15,47.84,4.22,0.84,11.34,528.47,4.4
NM28,NM28,subsoil,48.3708,122.2836,450,63.77,195.33,0.32,72.48,58.05,30.9,5.21,4.11,7.22,35.22,3.23,0.81,10.9,528.47,4.4
NM29,NM29,topsoil,48.7575,121.8725,605,42.49,1773.25,1.13,300.43,138.94,96.98,3.46,17.4,6.01,147.13,3.35,1.47,43.92,512.02,4.27
NM30,NM30,subsoil,48.7575,121.8725,605,42.49,1010.62,0.91,249.28,124.8,39.31,1.76,10.16,6.18,110.24,10.57,1.27,10.43,512.02,4.27
NM31,NM31,topsoil,49.2008,120.3708,590,69.77,969.85,0.1,98.71,61.25,17.91,3.23,18.09,7.34,27.48,2.47,0.49,11.13,422.41,3.52
NM32,NM32,subsoil,49.2008,120.3708,590,69.77,125.69,0.11,42.19,41.29,11.86,3.37,9.22,7.59,22.08,1.98,0.42,11.15,422.41,3.52
NM33,NM33,topsoil,49.1506,119.8378,500,79.96,538.43,0.12,117.57,44.12,20.49,2.17,15.28,7.08,32.96,2.89,0.61,11.4,394.94,3.29
NM34,NM34,subsoil,49.1506,119.8378,500,79.96,188.54,0.14,135.72,39.14,10.41,1.6,14.35,6.95,34.24,2.87,0.62,11.93,394.94,3.29
NM35,NM35,topsoil,50.1078,120.2197,510,84,1302.76,0.14,249.22,45.72,11.85,2.85,5.09,6.91,45.64,4.01,0.74,11.38,381.72,3.18
NM36,NM36,subsoil,50.1078,120.2197,510,84,275.16,0.12,133.23,35.8,-0.93,1.69,10.3,7.51,31.88,2.77,0.64,11.51,381.72,3.18
NM37,NM37,topsoil,50.2025,119.7194,550,31.08,1586.41,0.06,123.78,33.24,12.62,2.59,33.96,6.88,40.49,3.89,0.92,10.41,356.8,2.97
NM38,NM38,subsoil,50.2025,119.7194,550,31.08,625.05,0.07,136.2,33.91,-0.36,4.66,16.28,7,32.26,3.03,0.81,10.65,356.8,2.97
NM39,NM39,topsoil,50.0822,119.3147,540,51.4,998.73,0.03,85.94,32.43,28.91,3.08,8.73,7.37,21.46,2.07,0.36,10.37,356.8,2.97
NM40,NM40,subsoil,50.0822,119.3147,540,51.4,387.26,0.04,59.67,33.25,8.65,3.08,2.7,7.22,14.92,1.41,0.31,10.58,356.8,2.97
NM41,NM41,topsoil,49.5433,117.3194,683,135.76,912.1,0.04,114.39,55.33,68.87,2.71,3.17,7.95,26.81,2.73,0.45,9.82,301.01,2.51
NM42,NM42,subsoil,49.5433,117.3194,683,135.76,424.63,0.06,102.12,43.88,13.62,1.52,2.35,7.85,25.85,2.65,0.47,9.75,301.01,2.51
NM43,NM43,topsoil,49.2181,117.0022,610,120.92,879.83,0.09,89.79,33.3,19.54,2.14,6.75,7.8,32.3,3.07,0.63,10.52,281.65,2.35
NM44,NM44,subsoil,49.2181,117.0022,610,120.92,529.94,0.11,44.77,26.67,10.28,3.28,2.04,7.76,28.71,2.51,0.61,11.44,281.65,2.35
NM45,NM45,topsoil,48.8125,116.8464,460,85.72,1124.42,0.05,46.11,26.49,16.32,2.33,9.76,8.38,20.16,1.85,0.63,10.9,281.65,2.35
NM46,NM46,subsoil,48.8125,116.8464,460,85.72,382.17,0.08,46.38,26.41,9.98,2.1,6.16,8.25,17.61,1.68,0.61,10.48,281.65,2.35
NM47,NM47,topsoil,48.5669,116.9922,490,62.68,511.25,0.01,38.15,25.58,11.56,2.47,4.57,7.59,12.33,1.17,0.3,10.54,261.1,2.18
NM48,NM48,subsoil,48.5669,116.9922,490,62.68,502.76,0.02,15.96,17.32,8.91,2.35,2.17,7.72,11.12,1.08,0.28,10.3,261.1,2.18
NM49,NM49,topsoil,48.4344,117.4169,580,76.56,519.75,0.06,29.51,30.35,19.75,4.05,4.8,7.79,13.82,1.36,0.32,10.16,273.49,2.28
NM50,NM50,subsoil,48.4344,117.4169,580,76.56,405.94,0.03,34.43,24.11,10.79,1.36,2.82,7.97,13.53,1.33,0.33,10.17,273.49,2.28
NM51,NM51,topsoil,48.2933,118.1706,500,71.12,577.49,0.14,16.51,23.03,23.4,6.01,8.21,7.59,20.08,1.88,0.47,10.68,291.83,2.43
NM52,NM52,subsoil,48.2933,118.1706,500,71.12,587.69,0.07,13.65,22.8,13.95,2.93,2.85,7.64,18.31,1.62,0.44,11.3,291.83,2.43
NM53,NM53,topsoil,47.9586,118.6561,620,69.2,1020.81,0.12,24.8,27.23,28.77,5.01,6.35,7.72,17.25,1.71,0.35,10.09,321.79,2.68
NM54,NM54,subsoil,47.9586,118.6561,620,69.2,443.31,0.08,25.47,26.4,17.1,1.17,5.73,8.98,8.7,0.98,0.27,8.88,321.79,2.68
NM55,NM55,topsoil,47.4683,119.436,720,110.88,779.62,0.38,158.05,93.32,95.47,6.57,9.08,7.03,54.22,4.64,0.64,11.69,423.31,3.53
NM56,NM56,subsoil,47.4683,119.436,720,110.88,290.45,0.28,110.13,58.1,36.53,7.77,6,6.97,46.61,3.76,0.63,12.4,423.31,3.53
NM57,NM57,topsoil,45.7392,118.7083,690,59.8,518.05,0.15,84.05,42.27,25.78,7.87,6.56,7.45,23.01,2.58,0.39,8.92,348.13,2.9
NM58,NM58,subsoil,45.7392,118.7083,690,59.8,462,0.16,96.72,42.31,23.21,1.86,1.68,7.87,20.85,2.45,0.38,8.51,348.13,2.9
NM59,NM59,topsoil,45.7722,117.9481,820,101.88,633.55,0.11,56.49,42.5,20.68,4.12,3.61,7.79,26.61,2.69,0.4,9.89,316.92,2.64
NM60,NM60,subsoil,45.7722,117.9481,820,101.88,361.78,0.08,40.24,31.56,19.25,2.39,3.01,7.66,17.73,1.55,0.27,11.44,316.92,2.64
NM61,NM61,topsoil,46.0642,117.9081,820,84.68,1256.9,0.13,52.73,43.52,29.54,3.26,4.8,7.93,32.38,3.37,0.55,9.61,316.92,2.64
NM62,NM62,subsoil,46.0642,117.9081,820,84.68,570.7,0.12,105.76,44.32,28.07,4.14,2.38,7.97,29.68,3.15,0.55,9.42,316.92,2.64
NM63,NM63,topsoil,45.6808,117.7492,790,116.16,567.3,0.12,36.87,34.2,33.46,3.92,1.94,8.28,15.28,1.65,0.27,9.26,300.97,2.51
NM64,NM64,subsoil,45.6808,117.7492,790,116.16,504.46,0.11,49.82,34.5,23.39,1.93,2.32,8.16,15.23,1.49,0.25,10.22,300.97,2.51
NM65,NM65,topsoil,45.7092,117.1856,740,86.76,465.39,0.09,86.42,42.23,29.17,3.55,3.58,7.7,21.91,2.18,0.34,10.05,282.23,2.35
NM66,NM66,subsoil,45.7092,117.1856,740,86.76,348.2,0.14,116.49,48.73,28.32,1.26,1.95,7.87,23.94,2.64,0.4,9.07,282.23,2.35
NM67,NM67,topsoil,45.3572,116.81,909,57.88,674.31,0.12,65.96,42.2,19.91,4.81,5.29,7.58,21.14,2.03,0.42,10.41,282.23,2.35
NM68,NM68,subsoil,45.3572,116.81,909,57.88,338,0.13,83.12,47.37,23.7,5.88,3.07,7.76,21.07,2.35,0.45,8.97,282.23,2.35
NM69,NM69,topsoil,45.0189,116.3,843,42.76,343.1,0.15,73.34,43.95,17.95,3.59,4.87,8.13,17.21,1.93,0.48,8.92,270.41,2.25
NM70,NM70,subsoil,45.0189,116.3,843,42.76,222.51,0.17,59.07,42.1,19.24,4.62,4.05,8.2,17.84,1.89,0.51,9.44,270.41,2.25
NM71,NM71,topsoil,43.9619,115.8535,1000,123.67,506.16,0.06,44.38,40.35,25.85,6.39,3.61,7.46,16.09,1.79,0.39,8.99,286.15,2.38
NM72,NM72,subsoil,43.9619,115.8535,1000,123.67,103.61,0.04,53.63,37.15,17.66,3.45,1.84,7.37,14.17,1.64,0.31,8.64,286.15,2.38
NM73,NM73,topsoil,43.8275,115.0987,1167,110.75,297.24,0.06,51.27,34.31,14.46,2.95,4.82,7.83,8.57,1.26,0.32,6.8,268.7,2.24
NM74,NM74,subsoil,43.8275,115.0987,1167,110.75,157.96,0.06,30.61,28.71,12.22,4.13,2.72,7.65,8.7,1.11,0.29,7.84,268.7,2.24
NM75,NM75,topsoil,43.9025,114.372,1008,99.35,366.88,0.08,29.94,32.18,6.25,3.97,6.71,8,10.87,1.33,0.61,8.17,237.49,1.98
NM76,NM76,subsoil,43.9025,114.372,1008,99.35,127.39,0.06,16.89,27.31,6.65,3.45,4.65,8.26,10.46,1.19,0.62,8.79,237.49,1.98
NM77,NM77,topsoil,43.8319,113.5449,1020,6.06,212.31,0.02,6.36,24.96,4.83,4.53,2.96,7.52,11.02,1.07,0.4,10.3,194.19,1.62
NM78,NM78,subsoil,43.8319,113.5449,1020,6.06,139.28,0.02,-0.89,15.96,4.18,1.07,3.45,7.85,9.93,0.94,0.38,10.56,194.19,1.62
NM79,NM79,topsoil,43.7162,112.8365,993,24.96,338,0.03,20.78,19.99,4.54,1.43,4.55,8.14,6.95,0.81,0.5,8.58,173.74,1.45
NM80,NM80,subsoil,43.7162,112.8365,993,24.96,190.23,0.02,10.07,17.77,4.5,3.64,2.67,8.09,8.66,0.98,0.52,8.84,173.74,1.45
NM81,NM81,topsoil,43.6325,112.1454,905,86.26,338,0.02,-7.85,19.22,12.73,1.56,2.23,7.82,2.69,0.3,0.16,8.97,147.6,1.23
NM82,NM82,subsoil,43.6325,112.1454,905,86.26,190.23,0.03,-17,11.78,6.42,1.99,2.85,7.63,2.89,0.31,0.16,9.32,147.6,1.23
NM83,NM83,topsoil,43.3511,111.872,960,12.58,134.18,0.03,-9.28,14,8.55,2.73,2.52,8.11,3.11,0.35,0.27,8.89,147.6,1.23
NM84,NM84,subsoil,43.3511,111.872,960,12.58,122.29,0.04,-6.88,19.8,6.88,1.36,1.63,8.07,3.8,0.36,0.28,10.56,147.6,1.23
NM85,NM85,topsoil,43.1469,111.3177,1071,17.57,81.53,0.02,9.39,18.31,13.31,1.04,3.99,8.25,4.45,0.45,0.38,9.89,152.71,1.27
NM86,NM86,subsoil,43.1469,111.3177,1071,17.57,67.94,0.03,16.65,22.3,10.5,1.07,2.08,8.15,4.35,0.47,0.32,9.26,152.71,1.27
NM87,NM87,topsoil,42.9343,110.8314,1071,6.31,220.81,0.05,10.58,25,12.29,6.29,5.43,8.11,6.7,0.82,0.36,8.17,154.53,1.29
NM88,NM88,subsoil,42.9343,110.8314,1071,6.31,135.88,0.03,12.02,22.95,5.33,1.35,2.58,8.09,6.37,0.76,0.3,8.38,154.53,1.29
NM89,NM89,topsoil,42.6293,110.3098,1125,16.36,428.03,0.04,9.34,27.06,19.38,2.2,2.98,8.14,4.65,0.56,0.29,8.3,168.68,1.41
NM90,NM90,subsoil,42.6293,110.3098,1125,16.36,115.5,0.03,6.74,21.5,9.91,1.03,1.79,8.12,5.21,0.59,0.26,8.83,168.68,1.41
NM91,NM91,topsoil,42.4179,109.817,1158,21.44,210.62,0.03,10.23,40.89,75.23,2.63,6.38,8.32,7.11,0.8,0.35,8.89,172.65,1.44
NM92,NM92,subsoil,42.4179,109.817,1158,21.44,101.91,0.05,4.87,32.09,27.97,3.78,3.34,8.38,6.24,0.74,0.29,8.43,172.65,1.44
NM93,NM93,topsoil,42.2026,109.2735,1242,26.65,236.09,0.02,22.77,26.86,8.74,1.11,2.98,8.34,6.65,0.8,0.31,8.31,193.57,1.61
NM94,NM94,subsoil,42.2026,109.2735,1242,26.65,127.39,0.04,27.57,20.86,4.37,1.67,6.77,8.12,8.48,1,0.34,8.48,193.57,1.61
NM95,NM95,topsoil,41.9102,108.6963,1533,12.46,363.48,0.04,17.53,25.39,7.45,1.89,3.26,8.04,8.13,0.85,0.43,9.56,176.33,1.47
NM96,NM96,subsoil,41.9102,108.6963,1533,12.46,90.02,0.06,24.43,26.93,10.05,1.76,6.54,7.93,9.32,1.03,0.39,9.05,176.33,1.47
NM97,NM97,topsoil,41.4873,108.5135,1234,27.71,264.97,0.04,8.45,19.4,7.91,1.62,2.75,8,6.75,0.82,0.36,8.23,214.48,1.79
NM98,NM98,subsoil,41.4873,108.5135,1234,27.71,135.88,0.04,10.2,26.01,7.92,4.38,7.3,7.86,8.75,1,0.36,8.75,214.48,1.79
NM99,NM99,topsoil,39.2337,107.2652,1281,24.45,125.69,0.04,31.15,25.08,9.34,2.93,6.39,8.11,7.92,0.61,0.34,12.98,233.4,1.95
NM100,NM100,subsoil,39.2337,107.2652,1281,24.45,73.04,0.06,19.31,28.31,8.74,5.21,3.85,8.06,6,0.61,0.3,9.84,233.4,1.95
NM101,NM101,topsoil,39.2116,107.9095,1430,23.74,156.26,0.05,41.47,28.11,43.8,2.78,5.13,8.19,8.16,0.79,0.61,10.33,268.69,2.24
NM102,NM102,subsoil,39.2116,107.9095,1430,23.74,169.85,0.06,26.9,28.52,9.23,2.36,3.05,8.21,6.65,0.74,0.4,8.99,268.69,2.24
NM103,NM103,topsoil,38.7436,107.7514,1345,97.09,107.01,0.04,26.84,26.44,10.16,2.64,6.93,8.69,4.27,0.37,0.41,11.54,284.76,2.37
NM104,NM104,subsoil,38.7436,107.7514,1345,97.09,147.77,0.04,21.91,21.9,7.19,0.77,3.75,8.78,2.55,0.23,0.35,11.09,284.76,2.37
NM105,NM105,topsoil,38.218,107.5283,1324,154.24,67.94,0.12,57.12,33.43,17.36,0.88,27.78,7.53,6.87,0.67,0.64,10.25,282.58,2.35
NM106,NM106,subsoil,38.218,107.5283,1324,154.24,45.86,0.09,74.25,35.92,13.47,2.14,13.55,7.78,5.47,0.52,0.46,10.52,282.58,2.35
NM107,NM107,topsoil,40.0175,110.0444,1339,30.65,361.78,0.01,44.48,28.17,14.53,3.12,2.71,8.29,3.68,0.49,0.36,7.51,347.06,2.89
NM108,NM108,subsoil,40.0175,110.0444,1339,30.65,142.68,0.02,25.04,28.42,6.39,7.16,5.22,8.32,3.03,0.33,0.35,9.18,347.06,2.89
NM109,NM109,topsoil,41.5265,112.3196,1521,9.9,,0.03,111.32,35.59,11.59,3.66,31.06,8.4,12.76,1.38,0.79,9.25,281.37,2.34
NM110,NM110,subsoil,41.5265,112.3196,1521,9.9,,0.03,121.1,49.91,8.3,9.68,11.55,8.04,12.71,1.41,0.82,9.01,281.37,2.34
NM111,NM111,topsoil,41.3326,112.8538,1760,34.67,642.04,0.08,80.24,48.8,16.46,5.92,7.64,8.14,16.43,1.8,0.75,9.13,315.51,2.63
NM112,NM112,subsoil,41.3326,112.8538,1760,34.67,261.57,0.09,91.43,46.63,13.61,5.35,4.52,7.97,17.5,1.89,0.74,9.26,315.51,2.63
NM113,NM113,topsoil,41.4637,113.3573,1405,29.04,285.35,0.08,75.26,41.72,16.64,3.35,4.24,8.28,15.62,1.76,0.66,8.88,322.68,2.69
NM114,NM114,subsoil,41.4637,113.3573,1405,29.04,108.7,0.1,75.14,34.75,15.59,2.02,5.52,8.24,18.02,2.2,0.72,8.19,322.68,2.69
NM115,NM115,topsoil,41.9391,114.001,1480,42.78,210.62,0.06,38.7,35.66,19.03,4.32,6.77,7.76,11.97,1.08,0.32,11.08,299.54,2.5
NM116,NM116,subsoil,41.9391,114.001,1480,42.78,246.28,0.08,37.64,33.92,7.91,3.93,3.75,7.61,13.2,1.51,0.36,8.74,299.54,2.5
NM117,NM117,topsoil,42.1881,114.6941,1288,39.09,307.43,0.07,66.8,59.66,10.21,8.81,6.77,7.52,12,1.44,0.29,8.33,318.41,2.65
NM118,NM118,subsoil,42.1881,114.6941,1288,39.09,168.15,0.06,50.93,36.18,8.54,4.69,4.08,7.6,13.67,1.5,0.31,9.11,318.41,2.65
NM119,NM119,topsoil,42.4187,115.3476,1250,30.89,619.96,0.08,55.55,35,15.37,4.48,5.81,7.53,12.79,1.58,0.34,8.09,333.25,2.78
NM120,NM120,subsoil,42.4187,115.3476,1250,30.89,414.44,0.09,86.23,44.85,15.98,5.9,2.87,8.05,10.86,1.35,0.32,8.04,333.25,2.78
NM121,NM121,topsoil,42.7151,115.9283,1314,49.93,876.43,0.06,108.45,42.85,22.87,1.61,11.94,8.29,13.88,1.52,0.42,9.13,360.95,3.01
NM122,NM122,subsoil,42.7151,115.9283,1314,49.93,314.23,0.06,63.1,34.14,12.94,2.86,3.54,9.42,7.39,0.86,0.28,8.59,360.95,3.01
NM123,NM123,topsoil,43.2059,116.1469,1298,31.87,766.03,0.1,44.97,32.92,16.88,3.79,11.68,7.78,8.77,0.89,0.27,9.85,335.73,2.8
NM124,NM124,subsoil,43.2059,116.1469,1298,31.87,324.42,0.07,40.66,27.84,12.07,4.75,3.95,7.55,6.99,0.66,0.22,10.59,335.73,2.8
NM125,NM125,topsoil,43.7101,116.1286,1069,91.6,348.2,0.08,19.37,31.37,13.52,2.72,3.97,7.6,8.23,0.94,0.24,8.76,299.17,2.49
NM126,NM126,subsoil,43.7101,116.1286,1069,91.6,321.02,0.08,16.65,26.61,15.1,2.22,1.64,7.5,6.98,0.84,0.22,8.31,299.17,2.49
NM127,NM127,topsoil,44.5353,115.9044,998,189.73,550.32,0.06,78.45,36.57,14.4,3.71,6.18,7.67,12.2,1.41,0.28,8.65,262.08,2.18
NM128,NM128,subsoil,44.5353,115.9044,998,189.73,511.25,0.07,77.91,36.92,21.37,3.05,3.59,7.69,11.25,1.23,0.25,9.15,262.08,2.18
NM129,NM129,topsoil,44.9075,116.093,1084,50.24,456.9,0.11,36.12,40.18,9.95,5.94,16.88,8.24,12.92,1.38,0.3,9.36,246.81,2.06
NM130,NM130,subsoil,44.9075,116.093,1084,50.24,122.29,0.12,15.57,35.17,7.09,5.75,6.93,8.28,12.3,1.35,0.31,9.11,246.81,2.06
