ID,library_ID,Layer,Latitude(N),Longtitude(E),Altitude(m),AGB g/m2,BGB g/m2,SWC,DOC(mg/kg),DON(mg/kg),NH4-N(mg/kg),NO3-N(mg/kg),AP£¨mg/kg£©,pH,SOC(g/kg),TN(g/kg),TP(g/kg),C/N,MAP(mm),MAT(¡æ)
QZ31,31,topsoil,32.4558,80.943,4490,3.21,28.58,0.04,142.86,151.91,5.21,5.72,3.58,9.16,3.08,0.28,0.09,10.98,109.09,-3
QZ32,32,subsoil,32.4558,80.943,4490,3.21,176.66,0.05,162.89,211.75,5.71,7.34,2.16,9.13,3.75,0.47,0.21,8.01,109.09,-3
QZ33,57,topsoil,32.052,81.8522,4639,25.54,423.47,0.05,243.02,559.9,14.84,14.13,5.06,8.78,6.77,0.72,0.28,9.43,116.36,-2.75
QZ34,58,subsoil,32.052,81.8522,4639,25.54,724.84,0.09,266.28,522.68,14.06,12.89,2.5,8.84,8.77,0.96,0.32,9.14,116.36,-2.75
QZ35,59,topsoil,32.4865,82.4255,4458,29.81,131.63,0.02,163.38,278.13,9.07,7.05,4.64,8.5,7.85,0.84,0.13,9.34,128.86,-2.75
QZ36,60,subsoil,32.4865,82.4255,4458,29.81,164.97,0.06,180.09,276.58,9.45,8.38,2.8,8.57,10.17,1.16,0.14,8.74,128.86,-2.75
QZ37,61,topsoil,32.4182,83.3433,4601,35.21,777.67,0.04,165.21,283.77,11.73,8.89,2.7,8.97,5.09,0.5,0.24,10.17,157.63,-2.42
QZ38,62,subsoil,32.4182,83.3433,4601,35.21,297.47,0.09,200.64,330.15,13.5,8.94,1.19,9.01,7.58,0.77,0.08,9.87,157.63,-2.42
QZ39,63,topsoil,32.3055,83.9732,4413,12.15,377.58,0.04,147.59,186.96,6.88,6.7,2.87,9.54,3.19,0.3,0.15,10.48,171.23,-2.33
QZ40,64,subsoil,32.3055,83.9732,4413,12.15,180.56,0.07,160.03,224.3,9.52,7.53,1.37,9.49,4.07,0.39,0.13,10.54,171.23,-2.33
QZ41,65,topsoil,32.1797,84.621,4475,13.9,214.77,0.07,175.56,338.14,16.48,15.94,3.17,8.91,7.09,0.69,0.21,10.22,193.97,-3.24
QZ42,66,subsoil,32.1797,84.621,4475,13.9,302.67,0.07,193.23,329.73,13.19,11.84,1.64,9.04,7.31,0.76,0.22,9.6,193.97,-3.24
